Result,Number,,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point (C),Temperature ('C),Control ('C),AC Conductivity Real (S/m),AC Conductivity Imaginary (S/m),Relative Permittivity Real ,Relative Permittivity Imaginary ,impedance real,impedance imaginary
1322,10,53,03:50:22,2511.886,1,0,120,119.07,-154.08,1.98E-05,7.58E-06,54.27178,141.6232,39010.25,-14949.22
1323,10,54,03:50:27,2238.721,1,0,120,119.07,-154.08,1.93E-05,7.16E-06,57.45903,155.0423,40316,-14941.21
1324,10,55,03:50:32,1995.262,1,0,120,119.07,-154.08,1.89E-05,6.75E-06,60.80228,170.2226,41557.86,-14844.16
1325,10,56,03:50:38,1778.279,1,0,120,119.07,-154.08,1.85E-05,6.35E-06,64.19881,186.9579,42822.1,-14704.53
1326,10,57,03:50:43,1584.893,1,0,120,119.07,-154.08,1.81E-05,5.96E-06,67.59734,205.117,44161.23,-14553.56
1327,10,58,03:50:48,1412.537,1,0,120,119.07,-154.08,1.78E-05,5.58E-06,70.98617,225.8815,45397.97,-14266.9
1328,10,59,03:50:53,1258.925,1,0,120,119.07,-154.08,1.74E-05,5.20E-06,74.30223,248.8757,46639.82,-13924.39
1329,10,60,03:50:58,1122.018,1,0,120,119.07,-154.08,1.72E-05,4.84E-06,77.58408,275.5287,47699.74,-13431.42
1330,10,61,03:51:04,1000,1,0,120,119.07,-154.08,1.69E-05,4.51E-06,81.14532,303.9097,48884.14,-13052.29
1331,10,62,03:51:09,891.251,1,0,120,119.07,-154.08,1.66E-05,4.19E-06,84.43104,335.7761,50020.07,-12577.57
1332,10,63,03:51:14,794.3282,1,0,120,119.07,-154.08,1.64E-05,3.88E-06,87.81403,371.3085,51103.37,-12085.89
1333,10,64,03:51:19,707.9457,1,0,120,119.07,-154.08,1.62E-05,3.60E-06,91.32638,412.3246,51973.43,-11511.67
1334,10,65,03:51:25,630.9573,1,0,120,119.07,-154.08,1.61E-05,3.33E-06,94.87868,458.7425,52730.3,-10905.86
1335,10,66,03:51:30,562.3413,1,0,120,119.07,-154.08,1.60E-05,3.09E-06,98.67106,511.9592,53302.2,-10273.05
1336,10,67,03:51:35,501.1872,1,0,120,119.07,-154.08,1.58E-05,2.84E-06,101.8655,568.0347,54162.5,-9712.945
1337,10,68,03:51:40,446.6836,1,0,120,119.07,-154.08,1.57E-05,2.63E-06,105.9639,632.933,54759.23,-9167.641
1338,10,69,03:51:45,398.1072,1,0,120,119.07,-154.08,1.56E-05,2.43E-06,109.6695,704.7443,55385.61,-8618.886
1339,10,70,03:51:51,354.8134,1,0,120,119.07,-154.08,1.55E-05,2.25E-06,113.9789,786.5883,55853.24,-8093.293
1340,10,71,03:51:56,316.2278,1,0,120,119.07,-154.08,1.55E-05,2.08E-06,118.4025,878.6564,56258.18,-7581.018
1341,10,72,03:52:03,281.8383,1,0,120,119.07,-154.08,1.54E-05,1.93E-06,123.2234,980.1143,56719.52,-7130.977
1342,10,73,03:52:08,251.1886,1,0,120,119.07,-154.08,1.53E-05,1.80E-06,128.8174,1095.213,57063.04,-6711.673
1343,10,74,03:52:13,223.8721,1,0,120,119.07,-154.08,1.53E-05,1.68E-06,134.6987,1224.749,57352.41,-6307.657
1344,10,75,03:52:18,199.5262,1,0,120,119.07,-154.08,1.52E-05,1.56E-06,140.3139,1368.001,57701.74,-5918.387
1345,10,76,03:52:23,177.8279,1,0,120,119.07,-154.08,1.51E-05,1.45E-06,146.8145,1530.334,57950.23,-5559.527
1346,10,77,03:52:28,158.4893,1,0,120,119.07,-154.08,1.51E-05,1.36E-06,154.4935,1709.889,58253.4,-5263.364
1347,10,78,03:52:34,141.2538,1,0,120,119.07,-154.08,1.50E-05,1.27E-06,161.6806,1913.928,58452.92,-4937.856
1348,10,79,03:52:39,125.8925,1,0,120,119.07,-154.08,1.50E-05,1.20E-06,171.1183,2141.623,58656.14,-4686.697
1349,10,80,03:52:44,112.2018,1,0,120,119.07,-154.08,1.49E-05,1.13E-06,181.0202,2392.806,58943.3,-4459.169
1350,10,81,03:52:49,100,1,0,120,119.07,-154.08,1.49E-05,1.07E-06,192.1013,2675.71,59176.38,-4248.538
1351,10,82,03:52:54,89.12509,1,0,120,119.07,-154.08,1.49E-05,1.01E-06,202.781,2996.832,59316.3,-4013.645
1352,10,83,03:52:59,79.43282,1,0,120,119.07,-154.08,1.48E-05,9.50E-07,214.893,3353.427,59504.75,-3813.16
1353,10,84,03:53:05,70.79458,1,0,120,119.07,-154.08,1.48E-05,9.16E-07,232.6817,3756.978,59609.98,-3691.838
1354,10,85,03:53:10,63.09574,1,0,120,119.07,-154.08,1.48E-05,8.71E-07,248.1513,4206.509,59757.12,-3525.205
1355,10,86,03:53:15,56.23413,1,0,120,119.07,-154.08,1.48E-05,8.25E-07,263.6611,4720.74,59766.46,-3338.056
1356,10,87,03:53:20,50.11872,1,0,120,119.07,-154.08,1.48E-05,7.74E-07,277.5922,5315.599,59577.9,-3111.288
1357,10,88,03:53:25,44.66836,1,0,120,119.07,-154.08,1.48E-05,7.43E-07,298.9017,5954.614,59686.16,-2996.046
1358,10,89,03:53:30,39.81071,1,0,120,119.07,-154.08,1.47E-05,7.21E-07,325.451,6637.96,60081.8,-2945.737
1359,10,90,03:53:36,35.48134,1,0,120,119.07,-154.08,1.47E-05,7.05E-07,357.3376,7465.215,59949.27,-2869.593
1360,10,91,03:53:41,31.62278,1,0,120,119.07,-154.08,1.48E-05,6.82E-07,387.4976,8389.609,59862.23,-2764.905
1361,10,92,03:53:46,28.18383,1,0,120,119.07,-154.08,1.47E-05,6.68E-07,426.0724,9395.809,59978.27,-2719.839
1362,10,93,03:53:51,25.11886,1,0,120,119.07,-154.08,1.47E-05,6.61E-07,473.3618,10519.56,60109.67,-2704.831
1363,10,94,03:53:56,22.38721,1,0,120,119.07,-154.08,1.47E-05,6.53E-07,524.2071,11808.89,60083.62,-2667.164
1364,10,95,03:54:02,19.95262,1,0,120,119.07,-154.08,1.47E-05,6.37E-07,574.0326,13241.31,60127.6,-2606.63
1365,10,96,03:54:07,17.78279,1,0,120,119.07,-154.08,1.46E-05,6.16E-07,623.0042,14747.62,60579.27,-2559.134
1366,10,97,03:54:12,15.84893,1,0,120,119.07,-154.08,1.47E-05,6.26E-07,710.2952,16636.65,60250.87,-2572.386
1367,10,98,03:54:17,14.12538,1,0,120,119.07,-154.08,1.45E-05,5.95E-07,756.795,18502.88,60793.16,-2486.529
1368,10,99,03:54:23,12.58925,1,0,120,119.07,-154.08,1.46E-05,5.82E-07,831.3546,20806.5,60663.65,-2423.906
1369,10,100,03:54:28,11.22018,1,0,120,119.07,-154.08,1.46E-05,5.91E-07,946.5096,23316.67,60734.98,-2465.457
1370,10,101,03:54:33,10,1,0,120,119.07,-154.08,1.46E-05,5.95E-07,1070.234,26228.86,60578.47,-2471.824
1371,10,102,03:54:38,8.91251,1,0,120,119.07,-154.08,1.45E-05,5.82E-07,1174.548,29231.71,60990.95,-2450.653
1372,10,103,03:54:43,7.943283,1,0,120,119.07,-154.08,1.45E-05,5.77E-07,1305.81,32722.53,61133.93,-2439.582
1373,10,104,03:54:49,7.079458,1,0,120,119.07,-154.08,1.45E-05,5.74E-07,1458.382,36704.66,61152.46,-2429.764
1374,10,105,03:54:54,6.309574,1,0,120,119.07,-154.08,1.44E-05,5.66E-07,1613.378,41112.2,61260.59,-2404.068
1375,10,106,03:54:59,5.623414,1,0,120,119.07,-154.08,1.45E-05,5.52E-07,1764.955,46197.78,61173.82,-2337.104
1376,10,107,03:55:09,5.011872,1,0,120,119.07,-154.08,1.44E-05,5.50E-07,1972.672,51668.9,61370.33,-2343.063
1377,10,108,03:55:14,4.466836,1,0,120,119.07,-154.08,1.44E-05,5.53E-07,2225.506,57838.17,61512.46,-2366.886
1378,10,109,03:55:20,3.981072,1,0,120,119.07,-154.08,1.43E-05,5.56E-07,2512.666,64726.11,61671.8,-2394.098
1379,10,110,03:55:25,3.548134,1,0,120,119.07,-154.08,1.43E-05,5.50E-07,2788.703,72304.38,61945.54,-2389.173
1380,10,111,03:55:30,3.162277,1,0,120,119.07,-154.08,1.42E-05,5.45E-07,3096.102,80683.7,62286.73,-2390.149
1381,10,112,03:55:36,2.818383,1,0,120,119.07,-154.08,1.42E-05,5.50E-07,3507.882,90816.96,62087.73,-2398.191
1382,10,113,03:55:42,2.511887,1,0,120,119.07,-154.08,1.42E-05,5.37E-07,3840.93,101688.2,62220.04,-2350.153
1383,10,114,03:55:47,2.238721,1,0,120,119.07,-154.08,1.42E-05,5.43E-07,4363.718,113768.7,62396.35,-2393.278
1384,10,115,03:55:52,1.995262,1,0,120,119.07,-154.08,1.41E-05,5.61E-07,5051.509,127311.2,62556.2,-2482.131
1385,10,116,03:55:58,1.778279,1,0,120,119.07,-154.08,1.41E-05,5.64E-07,5705.417,142970.8,62500.27,-2494.146
1386,10,117,03:56:04,1.584893,1,0,120,119.07,-154.08,1.41E-05,5.71E-07,6474.797,160435.7,62490.28,-2521.957
1387,10,118,03:56:09,1.412537,1,0,120,119.07,-154.08,1.41E-05,5.73E-07,7285.307,179728.1,62588.04,-2537.015
1388,10,119,03:56:15,1.258925,1,0,120,119.07,-154.08,1.41E-05,5.63E-07,8038.644,201430.6,62661.93,-2500.697
1389,10,120,03:56:20,1.122018,1,0,120,119.07,-154.08,1.41E-05,5.82E-07,9317.899,225262.2,62862.22,-2600.276
1390,10,121,03:56:26,1,1,0,120,119.07,-154.08,1.40E-05,5.86E-07,10527.03,252497.6,62922.89,-2623.356
1391,10,122,03:56:31,0.8912509,1,0,120,119.07,-154.08,1.40E-05,5.62E-07,11343.4,282770.6,63050.37,-2529.278
1392,10,123,03:56:37,0.7943283,1,0,120,119.07,-154.08,1.40E-05,5.73E-07,12977.28,316847.7,63130.86,-2585.681
1393,10,124,03:56:43,0.7079458,1,0,120,119.07,-154.08,1.41E-05,5.65E-07,14337.59,356995.4,62872.06,-2525.057
1394,10,125,03:56:50,0.6309573,1,0,120,119.07,-154.08,1.40E-05,5.68E-07,16171.15,398686.8,63164.72,-2562.027
1395,10,126,03:56:56,0.5623413,1,0,120,119.07,-154.08,1.40E-05,5.78E-07,18491.3,446973,63211.54,-2615.065
1396,10,127,03:57:03,0.5011872,1,0,120,119.07,-154.08,1.39E-05,5.87E-07,21036.34,500226.4,63370.37,-2664.955
1397,10,128,03:57:09,0.4466836,1,0,120,119.07,-154.08,1.39E-05,5.93E-07,23867.46,560249,63482.16,-2704.436
1398,10,129,03:57:15,0.3981072,1,0,120,119.07,-154.08,1.39E-05,5.84E-07,26388.31,627168.4,63630.86,-2677.289
1399,10,130,03:57:22,0.3548134,1,0,120,119.07,-154.08,1.39E-05,5.93E-07,30051.71,703192.3,63672.75,-2721.126
1400,10,131,03:57:29,0.3162278,1,0,120,119.07,-154.08,1.39E-05,6.18E-07,35119.1,788181.3,63728.36,-2839.553
1401,10,132,03:57:38,0.2818383,1,0,120,119.07,-154.08,1.39E-05,6.16E-07,39284.5,883496.3,63790.75,-2836.444
1402,10,133,03:57:47,0.2511886,1,0,120,119.07,-154.08,1.38E-05,6.44E-07,46078.2,986164.2,64109.73,-2995.506
1403,10,134,03:57:52,0.2238721,1,0,120,119.07,-154.08,1.38E-05,6.79E-07,54503.69,1108334,63988.3,-3146.703
1404,10,135,03:57:59,0.1995262,1,0,120,119.07,-154.08,1.38E-05,6.71E-07,60435.79,1242877,64027.47,-3113.381
1405,10,136,03:58:06,0.1778279,1,0,120,119.07,-154.08,1.38E-05,6.94E-07,70158.73,1393187,64078.31,-3226.885
1406,10,137,03:58:14,0.1584893,1,0,120,119.07,-154.08,1.37E-05,7.06E-07,80050.27,1556003,64366.8,-3311.42
1407,10,138,03:58:22,0.1412538,1,0,120,119.07,-154.08,1.38E-05,6.88E-07,87580.38,1750301,64212.75,-3213.034
1408,10,139,03:58:31,0.1258925,1,0,120,119.07,-154.08,1.37E-05,7.02E-07,100264,1958725,64373.97,-3295.201
1409,10,140,03:58:42,0.1122018,1,0,120,119.07,-154.08,1.37E-05,6.96E-07,111441.2,2192237,64537.5,-3280.73
1410,10,141,03:58:53,0.1,1,0,120,119.07,-154.08,1.37E-05,7.30E-07,131236.2,2454693,64652.22,-3456.527
1411,11,1,04:08:59,1000000,1,0,130,129.07,-144.08,1.64E-04,3.34E-04,5.995654,2.953194,1052.213,-2136.232
1412,11,2,04:09:05,891250.9,1,0,130,129.07,-144.08,1.53E-04,3.05E-04,6.149945,3.079542,1162.507,-2321.565
1413,11,3,04:09:10,794328.2,1,0,130,129.07,-144.08,1.42E-04,2.79E-04,6.303523,3.210041,1285.358,-2524.045
1414,11,4,04:09:15,707945.8,1,0,130,129.07,-144.08,1.33E-04,2.55E-04,6.473012,3.365068,1421.38,-2734.152
1415,11,5,04:09:22,630957.3,1,0,130,129.07,-144.08,1.24E-04,2.33E-04,6.634946,3.521757,1574.367,-2966.087
1416,11,6,04:09:27,562341.3,1,0,130,129.07,-144.08,1.16E-04,2.13E-04,6.819663,3.71446,1743.261,-3200.587
1417,11,7,04:09:32,501187.3,1,0,130,129.07,-144.08,1.09E-04,1.95E-04,6.983994,3.89796,1934.993,-3466.937
1418,11,8,04:09:38,446683.6,1,0,130,129.07,-144.08,1.02E-04,1.78E-04,7.17112,4.117331,2145.475,-3736.756
1419,11,9,04:09:43,398107.2,1,0,130,129.07,-144.08,9.65E-05,1.63E-04,7.364439,4.357863,2379.188,-4020.638
1420,11,10,04:09:48,354813.4,1,0,130,129.07,-144.08,9.13E-05,1.49E-04,7.565462,4.623126,2638.037,-4316.985
1421,11,11,04:09:53,316227.8,1,0,130,129.07,-144.08,8.65E-05,1.37E-04,7.774113,4.914042,2923.934,-4625.722
1422,11,12,04:09:59,281838.3,1,0,130,129.07,-144.08,8.20E-05,1.25E-04,7.991506,5.232817,3238.466,-4945.753
1423,11,13,04:10:04,251188.6,1,0,130,129.07,-144.08,7.80E-05,1.15E-04,8.219943,5.582221,3582.482,-5275.285
1424,11,14,04:10:09,223872.1,1,0,130,129.07,-144.08,7.43E-05,1.05E-04,8.458081,5.965744,3958.921,-5612.859
1425,11,15,04:10:14,199526.2,1,0,130,129.07,-144.08,7.09E-05,9.66E-05,8.706203,6.387885,4369.859,-5955.787
1426,11,16,04:10:19,177828,1,0,130,129.07,-144.08,6.78E-05,8.87E-05,8.962746,6.854648,4818.577,-6300.497
1427,11,17,04:10:25,158489.3,1,0,130,129.07,-144.08,6.50E-05,8.15E-05,9.239676,7.367762,5297.827,-6643.836
1428,11,18,04:10:30,141253.8,1,0,130,129.07,-144.08,6.23E-05,7.49E-05,9.526594,7.929678,5815.449,-6986.592
1429,11,19,04:10:36,125892.5,1,0,130,129.07,-144.08,5.99E-05,6.89E-05,9.831738,8.546881,6366.706,-7323.817
1430,11,20,04:10:41,112201.9,1,0,130,129.07,-144.08,5.79E-05,6.29E-05,10.07014,9.276053,7019.256,-7620.148
1431,11,21,04:10:47,100000,1,0,130,129.07,-144.08,5.58E-05,5.79E-05,10.41572,10.02352,7634.508,-7933.233
1432,11,22,04:10:52,89125.09,1,0,130,129.07,-144.08,5.38E-05,5.35E-05,10.78574,10.84198,8278.17,-8235.234
1433,11,23,04:10:57,79432.82,1,0,130,129.07,-144.08,5.19E-05,4.94E-05,11.18312,11.74133,8947.714,-8522.321
1434,11,24,04:11:02,70794.58,1,0,130,129.07,-144.08,5.01E-05,4.57E-05,11.61145,12.72551,9640.149,-8796.196
1435,11,25,04:11:10,63095.73,1,0,130,129.07,-144.08,4.85E-05,4.24E-05,12.08071,13.81865,10346.34,-9045.104
1436,11,26,04:11:15,56234.13,1,0,130,129.07,-144.08,4.70E-05,3.93E-05,12.57193,15.01747,11080.6,-9276.168
1437,11,27,04:11:20,50118.72,1,0,130,129.07,-144.08,4.55E-05,3.65E-05,13.09197,16.33162,11837.37,-9489.225
1438,11,28,04:11:25,44668.36,1,0,130,129.07,-144.08,4.42E-05,3.39E-05,13.65818,17.77432,12603.79,-9685.027
1439,11,29,04:11:31,39810.72,1,0,130,129.07,-144.08,4.29E-05,3.17E-05,14.29415,19.37139,13362.03,-9859.842
1440,11,30,04:11:36,35481.34,1,0,130,129.07,-144.08,4.17E-05,2.95E-05,14.94654,21.10946,14153.57,-10021.42
1441,11,31,04:11:41,31622.78,1,0,130,129.07,-144.08,4.05E-05,2.76E-05,15.71048,23.02587,14914.53,-10176.14
1442,11,32,04:11:46,28183.83,1,0,130,129.07,-144.08,3.94E-05,2.59E-05,16.48892,25.12369,15709.97,-10310.6
1443,11,33,04:11:51,25118.86,1,0,130,129.07,-144.08,3.83E-05,2.43E-05,17.38009,27.43643,16480.38,-10439.79
1444,11,34,04:11:56,22387.21,1,0,130,129.07,-144.08,3.73E-05,2.28E-05,18.30752,29.96174,17277.05,-10556.79
1445,11,35,04:12:02,19952.62,1,0,130,129.07,-144.08,3.63E-05,2.15E-05,19.34207,32.72109,18065.28,-10678.74
1446,11,36,04:12:07,17782.79,1,0,130,129.07,-144.08,3.54E-05,2.02E-05,20.46145,35.75298,18856.65,-10791.67
1447,11,37,04:12:12,15848.93,1,0,130,129.07,-144.08,3.44E-05,1.91E-05,21.67013,39.06388,19657.41,-10904.67
1448,11,38,04:12:17,14125.38,1,0,130,129.07,-144.08,3.35E-05,1.81E-05,23.03173,42.68398,20444.53,-11031.61
1449,11,39,04:12:22,12589.25,1,0,130,129.07,-144.08,3.27E-05,1.71E-05,24.45632,46.65021,21257.5,-11144.22
1450,11,40,04:12:28,11220.18,1,0,130,129.07,-144.08,3.18E-05,1.62E-05,26.0306,50.96354,22074.22,-11274.83
1451,11,41,04:12:33,10000,1,0,130,129.07,-144.08,3.10E-05,1.54E-05,27.7351,55.70062,22896.44,-11400.86
1452,11,42,04:12:38,8912.51,1,0,130,129.07,-144.08,3.02E-05,1.47E-05,29.57777,60.86877,23733.59,-11532.78
1453,11,43,04:12:43,7943.282,1,0,130,129.07,-144.08,2.94E-05,1.40E-05,31.5691,66.53024,24581.55,-11664.13
1454,11,44,04:12:48,7079.458,1,0,130,129.07,-144.08,2.86E-05,1.33E-05,33.7087,72.70765,25449.78,-11799.02
1455,11,45,04:12:53,6309.573,1,0,130,129.07,-144.08,2.79E-05,1.26E-05,35.98895,79.46944,26339.14,-11928.09
1456,11,46,04:12:59,5623.413,1,0,130,129.07,-144.08,2.72E-05,1.20E-05,38.45662,86.86147,27243.11,-12061.48
1457,11,47,04:13:04,5011.873,1,0,130,129.07,-144.08,2.65E-05,1.14E-05,41.02299,95.06009,28161.24,-12152.92
1458,11,48,04:13:09,4466.836,1,0,130,129.07,-144.08,2.58E-05,1.09E-05,43.73898,103.7249,29164.84,-12298.3
1459,11,49,04:13:14,3981.072,1,0,130,129.07,-144.08,2.51E-05,1.03E-05,46.59524,113.4464,30152.84,-12384.51
1460,11,50,04:13:19,3548.134,1,0,130,129.07,-144.08,2.45E-05,9.79E-06,49.59007,124.1117,31166.02,-12452.7
1461,11,51,04:13:25,3162.278,1,0,130,129.07,-144.08,2.41E-05,9.27E-06,52.6685,136.8998,32023.66,-12320.24
1462,11,52,04:13:30,2818.383,1,0,130,129.07,-144.08,2.35E-05,8.76E-06,55.86719,149.9039,33076.8,-12327.29
1463,11,53,04:13:35,2511.886,1,0,130,129.07,-144.08,2.29E-05,8.26E-06,59.08689,164.0801,34182.93,-12309.62
1464,11,54,04:13:40,2238.721,1,0,130,129.07,-144.08,2.25E-05,7.77E-06,62.36268,180.4343,35196.04,-12164.65
1465,11,55,04:13:45,1995.262,1,0,130,129.07,-144.08,2.20E-05,7.28E-06,65.62225,198.4437,36233.77,-11981.94
1466,11,56,04:13:50,1778.279,1,0,130,129.07,-144.08,2.16E-05,6.81E-06,68.85907,218.0772,37319.45,-11783.82
1467,11,57,04:13:56,1584.893,1,0,130,129.07,-144.08,2.11E-05,6.37E-06,72.21587,239.3764,38451.13,-11600.06
1468,11,58,04:14:01,1412.537,1,0,130,129.07,-144.08,2.07E-05,5.94E-06,75.58574,263.5471,39503.22,-11329.59
1469,11,59,04:14:06,1258.925,1,0,130,129.07,-144.08,2.04E-05,5.53E-06,78.94627,291.4869,40407.16,-10943.87
1470,11,60,04:14:11,1122.018,1,0,130,129.07,-144.08,2.01E-05,5.13E-06,82.11799,322.568,41297.85,-10513.43
1471,11,61,04:14:16,1000,1,0,130,129.07,-144.08,1.99E-05,4.76E-06,85.47769,357.1848,42144.58,-10085.59
1472,11,62,04:14:22,891.251,1,0,130,129.07,-144.08,1.97E-05,4.40E-06,88.80273,396.3387,42902.33,-9612.596
1473,11,63,04:14:27,794.3282,1,0,130,129.07,-144.08,1.94E-05,4.07E-06,92.18919,439.6629,43652.98,-9153.226
1474,11,64,04:14:32,707.9457,1,0,130,129.07,-144.08,1.93E-05,3.77E-06,95.73195,488.9843,44278.26,-8668.67
1475,11,65,04:14:37,630.9573,1,0,130,129.07,-144.08,1.91E-05,3.50E-06,99.61211,545.1899,44772.47,-8180.418
1476,11,66,04:14:43,562.3413,1,0,130,129.07,-144.08,1.90E-05,3.23E-06,103.0875,606.8185,45332.04,-7701.097
1477,11,67,04:14:48,501.1872,1,0,130,129.07,-144.08,1.88E-05,2.99E-06,107.3273,675.7093,45839.46,-7280.982
1478,11,68,04:14:53,446.6836,1,0,130,129.07,-144.08,1.87E-05,2.77E-06,111.3364,753.6234,46268.89,-6835.527
1479,11,69,04:14:58,398.1072,1,0,130,129.07,-144.08,1.86E-05,2.56E-06,115.5663,839.2582,46748.41,-6437.282
1480,11,70,04:15:04,354.8134,1,0,130,129.07,-144.08,1.85E-05,2.37E-06,120.0928,937.3628,47080.59,-6031.858
1481,11,71,04:15:09,316.2278,1,0,130,129.07,-144.08,1.84E-05,2.20E-06,125.1459,1046.82,47400.75,-5666.696
1482,11,72,04:15:16,281.8383,1,0,130,129.07,-144.08,1.84E-05,2.05E-06,130.598,1170.907,47635.23,-5313.03
1483,11,73,04:15:21,251.1886,1,0,130,129.07,-144.08,1.83E-05,1.91E-06,136.4669,1308.504,47901.26,-4995.731
1484,11,74,04:15:26,223.8721,1,0,130,129.07,-144.08,1.82E-05,1.79E-06,143.4883,1463.35,48118.97,-4718.29
1485,11,75,04:15:31,199.5262,1,0,130,129.07,-144.08,1.81E-05,1.67E-06,150.0839,1633.107,48434.33,-4451.155
1486,11,76,04:15:36,177.8279,1,0,130,129.07,-144.08,1.81E-05,1.55E-06,156.7008,1826.29,48648,-4174.134
1487,11,77,04:15:41,158.4893,1,0,130,129.07,-144.08,1.80E-05,1.46E-06,165.6733,2042.399,48846.26,-3962.261
1488,11,78,04:15:46,141.2538,1,0,130,129.07,-144.08,1.80E-05,1.35E-06,171.9874,2285.041,49031.23,-3690.418
1489,11,79,04:15:52,125.8925,1,0,130,129.07,-144.08,1.79E-05,1.29E-06,183.7671,2552.29,49277.05,-3547.991
1490,11,80,04:15:57,112.2018,1,0,130,129.07,-144.08,1.78E-05,1.21E-06,194.4314,2856.446,49429.57,-3364.552
1491,11,81,04:16:02,100,1,0,130,129.07,-144.08,1.78E-05,1.16E-06,209.1273,3194.508,49608.82,-3247.624
1492,11,82,04:16:07,89.12509,1,0,130,129.07,-144.08,1.77E-05,1.10E-06,221.7026,3572.897,49788.7,-3089.449
1493,11,83,04:16:12,79.43282,1,0,130,129.07,-144.08,1.77E-05,1.05E-06,236.7961,3998.415,49935.78,-2957.322
1494,11,84,04:16:17,70.79458,1,0,130,129.07,-144.08,1.77E-05,1.01E-06,256.6158,4483.006,49983.9,-2861.174
1495,11,85,04:16:23,63.09574,1,0,130,129.07,-144.08,1.76E-05,9.69E-07,275.9543,5017.936,50116.84,-2756.105
1496,11,86,04:16:28,56.23413,1,0,130,129.07,-144.08,1.75E-05,9.28E-07,296.4943,5608.921,50318.66,-2659.905
1497,11,87,04:16:33,50.11872,1,0,130,129.07,-144.08,1.75E-05,9.06E-07,325.0816,6271.46,50499.4,-2617.64
1498,11,88,04:16:38,44.66836,1,0,130,129.07,-144.08,1.75E-05,8.76E-07,352.4885,7027.931,50571.01,-2536.408
1499,11,89,04:16:43,39.81071,1,0,130,129.07,-144.08,1.74E-05,8.59E-07,387.912,7862.551,50722.54,-2502.481
1500,11,90,04:16:48,35.48134,1,0,130,129.07,-144.08,1.74E-05,8.32E-07,421.6475,8802.277,50842.84,-2435.478
1501,11,91,04:16:54,31.62278,1,0,130,129.07,-144.08,1.73E-05,8.12E-07,461.4748,9844.666,51011.24,-2391.184
1502,11,92,04:16:59,28.18383,1,0,130,129.07,-144.08,1.73E-05,7.95E-07,507.0818,11043.27,51027.92,-2343.086
1503,11,93,04:17:04,25.11886,1,0,130,129.07,-144.08,1.73E-05,7.81E-07,559.2397,12368.88,51121.43,-2311.376
1504,11,94,04:17:09,22.38721,1,0,130,129.07,-144.08,1.73E-05,7.61E-07,610.7515,13869.05,51160.17,-2252.94
1505,11,95,04:17:14,19.95262,1,0,130,129.07,-144.08,1.72E-05,7.56E-07,681.0942,15510.62,51328.02,-2253.889
1506,11,96,04:17:20,17.78279,1,0,130,129.07,-144.08,1.73E-05,7.01E-07,709.0806,17469.13,51148.63,-2076.148
1507,11,97,04:17:25,15.84893,1,0,130,129.07,-144.08,1.73E-05,6.90E-07,782.7074,19637.13,51056.7,-2035.046
1508,11,98,04:17:30,14.12538,1,0,130,129.07,-144.08,1.73E-05,6.78E-07,863.2975,22004.95,51124.81,-2005.727
1509,11,99,04:17:35,12.58925,1,0,130,129.07,-144.08,1.73E-05,6.86E-07,979.2789,24652.91,51199.71,-2033.788
1510,11,100,04:17:41,11.22018,1,0,130,129.07,-144.08,1.72E-05,6.72E-07,1076.969,27580.4,51352.09,-2005.215
1511,11,101,04:17:46,10,1,0,130,129.07,-144.08,1.72E-05,6.61E-07,1188.389,30907.14,51418.54,-1977.059
1512,11,102,04:17:51,8.91251,1,0,130,129.07,-144.08,1.72E-05,6.64E-07,1339.514,34649.44,51460.67,-1989.421
1513,11,103,04:17:56,7.943283,1,0,130,129.07,-144.08,1.71E-05,6.52E-07,1476.169,38785.5,51584.85,-1963.31
1514,11,104,04:18:02,7.079458,1,0,130,129.07,-144.08,1.71E-05,6.52E-07,1654.749,43490.78,51617.24,-1963.947
1515,11,105,04:18:07,6.309574,1,0,130,129.07,-144.08,1.72E-05,6.57E-07,1871.397,48916.3,51491,-1969.898
1516,11,106,04:18:12,5.623414,1,0,130,129.07,-144.08,1.71E-05,6.48E-07,2071.963,54757.34,51612.68,-1952.973
1517,11,107,04:18:22,5.011872,1,0,130,129.07,-144.08,1.71E-05,6.40E-07,2294.919,61414.6,51634.82,-1929.472
1518,11,108,04:18:27,4.466836,1,0,130,129.07,-144.08,1.71E-05,6.40E-07,2576.587,68997.18,51568.4,-1925.738
1519,11,109,04:18:33,3.981072,1,0,130,129.07,-144.08,1.71E-05,6.46E-07,2918.048,77344.15,51614.89,-1947.332
1520,11,110,04:18:38,3.548134,1,0,130,129.07,-144.08,1.71E-05,6.50E-07,3294.833,86709.39,51656.79,-1962.885
1521,11,111,04:18:44,3.162277,1,0,130,129.07,-144.08,1.71E-05,6.63E-07,3771.294,97054.52,51778.48,-2011.981
1522,11,112,04:18:49,2.818383,1,0,130,129.07,-144.08,1.71E-05,6.65E-07,4242.714,108874.2,51788.83,-2018.156
1523,11,113,04:18:55,2.511887,1,0,130,129.07,-144.08,1.70E-05,6.50E-07,4649.026,121962.6,51875.57,-1977.417
1524,11,114,04:19:00,2.238721,1,0,130,129.07,-144.08,1.70E-05,6.50E-07,5216.861,136381.1,52051.25,-1991.069
1525,11,115,04:19:06,1.995262,1,0,130,129.07,-144.08,1.70E-05,6.41E-07,5775.756,152994,52062.79,-1965.449
